               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087165,            0.019334,            0.037716,           0.0022319,             0.90995,            0.065537,            0.020392,            0.066033,           0.0078812,            0.030682,            0.070588,            0.003268,            0.003268
                   1,            0.056884,            0.016258,            0.032722,             0.72993,              0.1253,             0.10997,            0.035197,            0.063765,           0.0074157,            0.027847,             0.04037,           0.0063835,           0.0063835
                   2,            0.052663,             0.01488,            0.029351,             0.11072,             0.17423,             0.07422,             0.01917,            0.076635,           0.0067863,            0.031015,           0.0099325,            0.009279,            0.009279
                   3,            0.051533,            0.014788,            0.028644,             0.58948,             0.17157,             0.19352,            0.069306,            0.059622,            0.010788,            0.030149,             0.00901,             0.00901,             0.00901
                   4,            0.049688,            0.014545,             0.02783,             0.50812,             0.43481,             0.40469,             0.14786,             0.05109,           0.0071193,            0.020821,             0.00901,             0.00901,             0.00901
                   5,            0.049518,            0.014432,            0.026123,             0.69932,             0.39691,              0.4652,             0.20624,            0.050029,           0.0061285,            0.024831,             0.00868,             0.00868,             0.00868
                   6,            0.047429,            0.014567,            0.025803,             0.35517,             0.41065,             0.30119,            0.095807,            0.057963,           0.0065735,            0.022078,             0.00835,             0.00835,             0.00835
                   7,            0.046798,            0.014284,            0.024438,             0.56661,              0.4686,              0.5047,             0.21188,            0.049459,           0.0060166,            0.022904,             0.00802,             0.00802,             0.00802
                   8,            0.045673,            0.014065,            0.023722,             0.65175,             0.50069,             0.56362,             0.26033,             0.04427,           0.0062906,            0.022428,             0.00769,             0.00769,             0.00769
                   9,            0.045038,            0.013764,            0.023103,             0.61825,             0.53287,              0.6023,             0.27709,            0.045817,           0.0055546,             0.01948,             0.00736,             0.00736,             0.00736
                  10,            0.044376,            0.013471,             0.02196,             0.56418,             0.59349,             0.56412,             0.24824,             0.04353,           0.0055625,            0.019638,             0.00703,             0.00703,             0.00703
                  11,            0.043338,            0.013521,            0.021799,             0.65847,             0.58793,             0.63525,             0.31425,            0.044324,            0.005133,            0.019333,              0.0067,              0.0067,              0.0067
                  12,            0.042984,            0.013521,            0.021053,             0.52912,             0.55394,             0.53693,             0.26135,            0.044098,           0.0055555,            0.015797,             0.00637,             0.00637,             0.00637
                  13,            0.042627,            0.013362,            0.021275,             0.75662,             0.68539,             0.76194,             0.38721,            0.046477,           0.0046508,            0.015801,             0.00604,             0.00604,             0.00604
                  14,            0.042262,            0.013427,            0.019787,             0.72531,             0.68603,             0.74106,             0.35202,            0.042479,           0.0048566,            0.017407,             0.00571,             0.00571,             0.00571
                  15,            0.041068,            0.012964,             0.01892,             0.76746,              0.7084,             0.79625,             0.42845,            0.040417,           0.0045571,            0.021727,             0.00538,             0.00538,             0.00538
                  16,            0.041056,            0.013317,            0.018341,             0.79308,             0.71933,             0.80166,             0.40468,            0.042793,           0.0047293,            0.016981,             0.00505,             0.00505,             0.00505
                  17,            0.039625,            0.013183,            0.017345,             0.80012,             0.72919,               0.824,             0.46581,            0.036549,           0.0046564,            0.018357,             0.00472,             0.00472,             0.00472
                  18,            0.039515,            0.012662,            0.017768,             0.76899,             0.72145,             0.81532,             0.46886,            0.038275,           0.0047543,            0.017342,             0.00439,             0.00439,             0.00439
                  19,            0.038805,            0.012739,            0.017418,             0.79815,             0.77685,             0.82799,              0.4391,             0.03954,           0.0046432,             0.01611,             0.00406,             0.00406,             0.00406
                  20,            0.038816,            0.012672,            0.016499,             0.83826,             0.79371,             0.86027,             0.49595,            0.038629,           0.0044738,            0.023881,             0.00373,             0.00373,             0.00373
                  21,            0.037358,            0.012318,            0.016114,             0.85945,             0.77502,             0.87136,             0.48511,            0.039653,           0.0042293,             0.02386,              0.0034,              0.0034,              0.0034
                  22,            0.037443,            0.012181,            0.016181,             0.86491,             0.78102,             0.88234,             0.49232,            0.039501,           0.0041906,            0.023559,             0.00307,             0.00307,             0.00307
                  23,            0.036734,            0.012198,            0.014916,             0.80442,             0.83907,             0.87187,             0.51303,            0.037468,           0.0040311,            0.024393,             0.00274,             0.00274,             0.00274
                  24,            0.036356,            0.011986,            0.014941,              0.8546,             0.86308,             0.89689,             0.53438,            0.037351,           0.0039864,            0.025527,             0.00241,             0.00241,             0.00241
                  25,            0.035972,            0.011944,            0.014252,             0.84591,             0.83466,             0.89552,             0.55053,            0.035721,           0.0038439,            0.023331,             0.00208,             0.00208,             0.00208
                  26,            0.035172,            0.011921,            0.013898,             0.84892,             0.82318,             0.88575,             0.50262,            0.037475,           0.0039907,            0.020747,             0.00175,             0.00175,             0.00175
                  27,            0.034636,            0.011902,            0.013517,             0.86763,             0.84442,             0.90345,             0.57712,            0.034621,           0.0038007,            0.021557,             0.00142,             0.00142,             0.00142
                  28,            0.034639,            0.011814,            0.013386,             0.87681,             0.84402,             0.91276,             0.58872,            0.034846,           0.0037273,             0.02312,             0.00109,             0.00109,             0.00109
                  29,            0.033768,            0.011766,            0.012615,             0.86084,             0.85493,             0.90842,             0.58239,            0.034288,           0.0036793,            0.023302,             0.00076,             0.00076,             0.00076
