               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080522,            0.020685,            0.036291,             0.14248,             0.37623,             0.12027,            0.038236,            0.060298,           0.0085325,            0.027567,            0.070588,            0.003268,            0.003268
                   1,            0.048555,            0.015135,            0.026566,             0.35445,             0.46943,             0.36459,             0.16257,            0.050912,           0.0057164,            0.020962,             0.04037,           0.0063835,           0.0063835
                   2,            0.044016,            0.012038,            0.019729,             0.57747,             0.39215,             0.42519,             0.22654,            0.058205,           0.0065733,            0.021157,           0.0099325,            0.009279,            0.009279
                   3,            0.040222,            0.010848,            0.015192,             0.59528,             0.61169,             0.61655,             0.32231,            0.043998,           0.0053619,            0.018302,             0.00901,             0.00901,             0.00901
                   4,            0.037105,            0.010378,            0.014155,             0.63321,             0.60198,             0.63553,              0.3503,            0.042233,           0.0074112,            0.017961,             0.00901,             0.00901,             0.00901
                   5,            0.036182,            0.010017,            0.012896,             0.81462,             0.58847,             0.70151,             0.41243,            0.040227,           0.0049823,            0.019308,             0.00868,             0.00868,             0.00868
                   6,            0.033885,             0.00951,            0.011939,             0.73202,             0.43507,             0.54962,             0.32297,            0.041026,           0.0062706,            0.022759,             0.00835,             0.00835,             0.00835
                   7,             0.03248,            0.009343,            0.010582,             0.77079,              0.7373,             0.79546,              0.5113,            0.035914,           0.0046589,            0.012348,             0.00802,             0.00802,             0.00802
                   8,            0.031294,           0.0089934,            0.010121,             0.76032,             0.76852,             0.81141,             0.53872,            0.034915,           0.0043428,            0.019311,             0.00769,             0.00769,             0.00769
                   9,            0.030527,           0.0087646,           0.0097415,             0.76012,             0.77537,              0.8281,             0.52723,            0.034791,           0.0040994,            0.020739,             0.00736,             0.00736,             0.00736
                  10,            0.029928,           0.0084657,           0.0088476,             0.82275,             0.80228,             0.87105,             0.53763,            0.038121,           0.0040613,            0.016881,             0.00703,             0.00703,             0.00703
                  11,            0.029203,           0.0084504,           0.0088325,             0.90229,              0.7858,             0.88605,             0.60253,            0.034682,           0.0040664,            0.014291,              0.0067,              0.0067,              0.0067
                  12,            0.028399,           0.0081713,           0.0080082,             0.86794,             0.81748,             0.88735,              0.6192,            0.034115,           0.0036677,            0.015333,             0.00637,             0.00637,             0.00637
                  13,            0.027325,           0.0079235,           0.0076679,             0.89342,             0.83207,             0.89298,             0.60276,            0.034575,           0.0038423,            0.017478,             0.00604,             0.00604,             0.00604
                  14,            0.026932,           0.0078178,           0.0067371,             0.86582,             0.79783,             0.86437,             0.58716,            0.034762,           0.0042257,              0.0137,             0.00571,             0.00571,             0.00571
                  15,             0.02632,           0.0077268,            0.006938,              0.8908,             0.87223,             0.91448,             0.65263,            0.032233,            0.003455,            0.013427,             0.00538,             0.00538,             0.00538
                  16,             0.02565,           0.0077013,            0.006292,             0.87635,             0.80621,             0.90793,             0.66135,            0.031672,           0.0034049,            0.014935,             0.00505,             0.00505,             0.00505
                  17,            0.025312,           0.0074942,           0.0060014,             0.89185,             0.89948,             0.93376,             0.69574,            0.031884,           0.0032558,            0.013844,             0.00472,             0.00472,             0.00472
                  18,             0.02451,           0.0071251,           0.0053432,             0.87526,             0.85503,             0.90334,             0.65978,            0.031964,           0.0032743,            0.015969,             0.00439,             0.00439,             0.00439
                  19,            0.024232,           0.0068628,           0.0055749,             0.90446,             0.89227,             0.93753,             0.67915,            0.031459,           0.0032659,            0.014001,             0.00406,             0.00406,             0.00406
                  20,            0.023335,           0.0069657,           0.0054322,             0.90764,             0.92651,             0.94796,              0.7209,            0.030246,           0.0029672,            0.011469,             0.00373,             0.00373,             0.00373
                  21,            0.022868,           0.0068219,           0.0046221,             0.90672,             0.93175,             0.94821,             0.70464,            0.029713,           0.0029584,            0.013996,              0.0034,              0.0034,              0.0034
                  22,            0.022087,            0.006513,           0.0048795,             0.91273,              0.8971,             0.94744,             0.69826,             0.03137,           0.0031757,            0.014663,             0.00307,             0.00307,             0.00307
                  23,            0.021818,           0.0065049,            0.004753,             0.91286,             0.93845,             0.95275,             0.71903,            0.029734,           0.0028734,            0.010645,             0.00274,             0.00274,             0.00274
                  24,            0.021386,           0.0063626,           0.0043256,             0.93319,             0.91487,             0.94474,             0.71435,             0.03012,           0.0029628,             0.01432,             0.00241,             0.00241,             0.00241
                  25,             0.02094,           0.0062765,           0.0043536,             0.91998,             0.92901,             0.94728,             0.71761,            0.029427,           0.0028598,            0.013344,             0.00208,             0.00208,             0.00208
                  26,            0.020053,           0.0060687,           0.0038277,              0.9305,             0.92893,             0.94972,             0.72397,            0.029545,           0.0028464,            0.012049,             0.00175,             0.00175,             0.00175
                  27,            0.020115,           0.0060523,            0.003662,             0.94224,             0.93158,              0.9507,             0.73747,            0.028627,           0.0028343,            0.012336,             0.00142,             0.00142,             0.00142
                  28,            0.019451,           0.0060238,           0.0037573,             0.93454,             0.93717,             0.95656,             0.73778,            0.028976,           0.0028304,            0.013367,             0.00109,             0.00109,             0.00109
                  29,            0.018949,             0.00592,           0.0029916,             0.94036,             0.92304,             0.95043,             0.73872,             0.02931,           0.0028506,             0.01536,             0.00076,             0.00076,             0.00076
